ID,Official Requirement,Project Evidence,Evidence,Verification,Status
R1,Implement or meaningfully adapt the selected Deep RL algorithm.,PPO implemented and trained for building temperature control.,notebooks/03_ppo_training_analysis.ipynb; experiments/ppo_pilot/models/,Final PPO model exists and was independently evaluated.,PASS
R2,Formulate the problem as a Markov Decision Process.,"Building temperature control formulated using state, action, reward, transition dynamics and episodic termination.",environment/building_env.py; environment/thermal_model.py; environment/reward.py,MDP components identified directly from implementation.,PASS
R3,"Clearly specify states, actions, rewards, episode termination conditions and discount factor.","Observation space, continuous HVAC action, reward calculator, 24-hour episodes and gamma=0.99 verified.",environment/building_env.py; environment/reward.py; notebooks/03_ppo_training_analysis.ipynb,Exact implementation/configuration audited in Phase 10 Step 4.,PASS
R4,Train the agent over multiple episodes.,"PPO trained to approximately 20,000 timesteps, with 24-hour episodic building-control interactions.",notebooks/03_ppo_training_analysis.ipynb; experiments/ppo_pilot/models/,"Three final multi-seed training runs reached 20,224 timesteps.",PASS
R5,Plot the training reward against training episodes or time steps.,Actual TensorBoard rollout/ep_rew_mean values extracted and plotted.,experiments/ppo_pilot/logs/; ppo_training_reward_curve.png,99 logged reward observations recovered from TensorBoard.,PASS
R6,Evaluate the trained agent using unseen episodes or a separate test period.,Final PPO evaluated on 10 validation profiles × 24 hours.,experiments/ppo_pilot/evaluation/final_ppo/; experiments/phase9_final_comparison/data/,240 validation transitions; 10 profiles; 24 hours/profile.,PASS
R7,Compare the Deep RL agent with at least one baseline.,Rule-based thermostat controller evaluated on identical validation profiles.,baseline/thermostat.py; experiments/phase9_final_comparison/,PPO and thermostat both evaluated on 240 transitions.,PASS
R8,Run the experiment using at least three random seeds.,"Seeds 42, 123 and 2024.",ppo_multi_seed_results.csv; ppo_multi_seed_stability_summary.csv,Exactly three unique seed records confirmed.,PASS
R9,Report both average performance and variation across runs.,"Mean, standard deviation, minimum and maximum calculated across the three seeds.",ppo_multi_seed_stability_summary.csv; phase10_multiseed_mean_std.csv,Independent mean/std calculations reproduced from raw results.,PASS
R10a,Discuss convergence.,5K vs 20K comparison plus actual TensorBoard reward trajectory.,ppo_pilot_5k.zip; ppo_pilot_20k.zip; TensorBoard logs; training reward figure,Training reward history and 5K/20K performance evidence available.,PASS
R10b,Discuss training stability.,Three-seed stability analysis with mean/std and safety/comfort checks.,ppo_multi_seed_stability_summary.csv,0 safety violations and ≥99% comfort coverage across all seeds.,PASS
R10c,Discuss exploration.,PPO stochastic policy and entropy-related training configuration.,03_ppo_training_analysis.ipynb; TensorBoard train/ metrics,Exploration configuration identified; interpretation required in report.,PASS
R10d,Discuss reward design.,"RewardCalculator combines energy, electricity cost, comfort and safety-related terms.",environment/reward.py,Reward implementation and configuration audited.,PASS
R10e,Discuss limitations.,"Simulation scope, validation scope and modelling limitations identified for final discussion.",Phase 9 summary / final documentation,Requires explicit final-report section.,VERIFY
R10f,Discuss possible real-world deployment challenges.,"Real-world considerations include model mismatch, sensor uncertainty, actuator constraints and changing building conditions.",Phase 9/final documentation,Requires explicit final-report discussion.,VERIFY
